d,t
0.000000,27.378468
0.716349,27.378468
0.716349,27.410168
1.589544,27.410168
1.589544,27.426752
2.557436,27.426752
2.557436,27.453314
3.543254,27.453314
3.543254,27.345552
4.535323,27.345552
4.535323,27.390314
5.530280,27.390314
5.530280,27.496927
6.526804,27.496927
6.526804,27.390299
7.524273,27.390299
7.524273,27.557600
8.522356,27.557600
8.522356,27.535408
9.520858,27.535408
9.520858,27.586901
10.519661,27.586901
10.519661,27.597013
11.518686,27.597013
11.518686,27.493269
12.517881,27.493269
12.517881,27.549145
13.517207,27.549145
13.517207,27.698740
14.516637,27.698740
14.516637,27.691053
15.516152,27.691053
15.516152,27.795891
16.515736,27.795891
16.515736,27.753462
17.515376,27.753462
17.515376,27.869761
18.515065,27.869761
18.515065,27.735939
19.514795,27.735939
19.514795,28.008110
20.514558,28.008110
20.514558,27.725424
21.514352,27.725424
21.514352,28.102095
22.514172,28.102095
22.514172,28.030039
23.514014,28.030039
23.514014,28.134298
24.513875,28.134298
24.513875,27.968988
25.513755,27.968988
25.513755,27.947519
26.513649,27.947519
26.513649,27.964869
27.513558,27.964869
27.513558,28.047039
28.513479,28.047039
28.513479,28.326866
29.513411,28.326866
29.513411,28.208323
30.513353,28.208323
30.513353,28.209635
31.513303,28.209635
31.513303,28.155935
32.513263,28.155935
32.513263,28.226278
33.513229,28.226278
33.513229,28.261875
34.513203,28.261875
34.513203,28.325705
35.513182,28.325705
35.513182,28.412176
36.513168,28.412176
36.513168,28.379484
37.513158,28.379484
37.513158,28.455891
38.513154,28.455891
38.513154,28.656910
39.513154,28.656910
39.513154,28.642094
40.513158,28.642094
40.513158,28.377041
41.513166,28.377041
41.513166,28.576956
42.513178,28.576956
42.513178,28.644558
43.513193,28.644558
43.513193,28.702326
44.513211,28.702326
44.513211,28.658625
45.513232,28.658625
45.513232,28.665979
46.513256,28.665979
46.513256,28.785332
47.513282,28.785332
47.513282,28.810268
48.513311,28.810268
48.513311,28.722242
49.513342,28.722242
49.513342,28.700483
50.513375,28.700483
50.513375,28.799686
51.513410,28.799686
51.513410,28.970266
52.513447,28.970266
52.513447,28.920790
53.513485,28.920790
53.513485,28.955364
54.513526,28.955364
54.513526,29.022678
55.513568,29.022678
55.513568,29.097252
56.513611,29.097252
56.513611,29.134865
57.513656,29.134865
57.513656,29.173059
58.513702,29.173059
58.513702,29.061436
59.513750,29.061436
59.513750,29.219841
60.513798,29.219841
60.513798,29.213892
61.513848,29.213892
61.513848,29.153658
62.513899,29.153658
62.513899,29.298931
63.513951,29.298931
63.513951,29.357500
64.514004,29.357500
64.514004,29.404205
65.514058,29.404205
65.514058,29.187752
66.514113,29.187752
66.514113,29.503187
67.514169,29.503187
67.514169,29.326647
68.514226,29.326647
68.514226,29.403067
69.514283,29.403067
69.514283,29.378630
70.514341,29.378630
70.514341,29.533024
71.514400,29.533024
71.514400,29.416475
72.514460,29.416475
72.514460,29.658571
73.514520,29.658571
73.514520,29.540071
74.514581,29.540071
74.514581,29.651276
75.514642,29.651276
75.514642,29.477938
76.514704,29.477938
76.514704,29.720238
76.514704,29.720238
76.514704,29.396523
77.006493,29.396523
